Núm. venta,Fecha,Patrón,Categoría,Dificultad,Tamaño,Núm. ovillos,Precio (€),Precio venta patrón (€),País,Sexo,Edad
1,26/07/2024,Oso panda,Llavero,Baja,Pequeño,2,48.07,3.5,Guatemala,Mujer,45
2,27/02/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,49.05,5.0,Ecuador,Mujer,66
3,04/12/2024,Oso navideño,Navidad,Media,Mediano,4,7.31,5.0,Chile,Mujer,29
4,17/08/2024,Rana,Llavero,Baja,Pequeño,1,44.2,3.5,Panamá,Mujer,52
5,25/11/2024,Oso panda,Llavero,Baja,Pequeño,2,27.55,3.5,Panamá,Mujer,20
6,02/06/2024,Oso panda,Llavero,Baja,Pequeño,2,26.98,3.5,Noruega,Hombre,31
7,21/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,10.63,5.0,Honduras,Mujer,21
8,05/02/2024,Oso panda,Llavero,Baja,Pequeño,2,27.16,3.5,Cuba,Hombre,36
9,02/07/2024,Papa Noel,Navidad,Alta,Grande,7,12.99,7.5,El Salvador,Hombre,48
10,27/10/2024,Oso panda,Llavero,Baja,Pequeño,2,7.42,3.5,Ecuador,Mujer,18
11,03/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.71,5.0,Honduras,Mujer,46
12,16/05/2024,Oso navideño,Navidad,Media,Mediano,4,7.72,5.0,Uruguay,Mujer,61
13,26/03/2024,Oso panda,Llavero,Baja,Pequeño,2,19.2,3.5,Nicaragua,Mujer,38
14,28/09/2024,Oso corazón,Amor,Media,Mediano,4,7.53,5.0,Perú,Mujer,24
15,23/09/2024,Oso panda,Llavero,Baja,Pequeño,2,19.76,3.5,Guatemala,Hombre,57
16,03/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,7.08,5.0,Chile,Hombre,52
17,09/12/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,40.77,5.0,Chile,Mujer,23
18,23/01/2024,Oso navideño,Navidad,Media,Mediano,4,39.11,5.0,Uruguay,Hombre,27
19,23/04/2024,Oso navideño,Navidad,Media,Mediano,4,39.8,5.0,República Dominicana,Hombre,64
20,21/12/2024,Rana,Llavero,Baja,Pequeño,1,47.61,3.5,Paraguay,Mujer,66
21,28/11/2024,Oso corazón,Amor,Media,Mediano,4,46.4,5.0,Honduras,Mujer,65
22,26/07/2024,Oso navideño,Navidad,Media,Mediano,4,11.82,5.0,España,Hombre,70
23,25/11/2024,Gnomo,Otoño,Media,Mediano,5,37.98,5.0,Uruguay,Mujer,59
24,11/07/2024,Oso panda,Llavero,Baja,Pequeño,2,40.75,3.5,Ecuador,Mujer,57
25,21/05/2024,Oso panda,Llavero,Baja,Pequeño,2,7.15,3.5,República Dominicana,Mujer,69
26,20/04/2024,Oso panda,Llavero,Baja,Pequeño,2,16.76,3.5,México,Mujer,63
27,25/03/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,39.17,5.0,Paraguay,Mujer,23
28,11/01/2024,Oso panda,Llavero,Baja,Pequeño,2,23.86,3.5,El Salvador,Mujer,35
29,23/03/2024,Oso panda,Llavero,Baja,Pequeño,2,12.34,3.5,Panamá,Mujer,62
30,12/02/2024,Oso panda,Llavero,Baja,Pequeño,2,30.91,3.5,Paraguay,Mujer,22
31,11/09/2024,Oso corazón,Amor,Media,Mediano,4,23.9,5.0,Corea del Sur,Hombre,24
32,10/04/2024,Oso panda,Llavero,Baja,Pequeño,2,22.28,3.5,Cuba,Mujer,61
33,03/08/2024,Oso navideño,Navidad,Media,Mediano,4,32.97,5.0,Venezuela,Hombre,63
34,01/06/2024,Papa Noel,Navidad,Alta,Grande,7,19.32,7.5,Chile,Mujer,19
35,28/11/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,6.08,5.0,Perú,Mujer,26
36,28/09/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,10.51,5.0,Venezuela,Mujer,30
37,12/12/2024,Oso navideño,Navidad,Media,Mediano,4,15.56,5.0,España,Hombre,52
38,16/04/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,7.5,5.0,India,Mujer,38
39,26/06/2024,Oso panda,Llavero,Baja,Pequeño,2,17.45,3.5,Uruguay,Mujer,66
40,22/05/2024,Oso panda,Llavero,Baja,Pequeño,2,7.06,3.5,Ecuador,Mujer,
41,14/07/2024,Oso sombrero conejo,Pascua,Alta,Mediano,6,42.63,5.0,Honduras,Mujer,48
